Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
100,-8.0,2,36
105,-8.0,2,36
110,-8.0,2,36
115,-8.0,2,36
120,-8.0,2,36
125,-8.0,2,36
130,-8.0,2,36
135,-8.0,2,36
140,-8.0,2,36
145,-8.0,2,36
150,-8.0,2,36
155,-8.0,2,37
160,-8.0,2,36
165,-8.0,2,36
170,-8.0,2,36
175,-8.0,2,36
180,-8.0,2,36
185,-8.0,2,36
190,-8.0,2,36
195,-8.0,2,36
200,-8.0,2,36
205,-8.0,2,36
210,-8.0,2,36
215,-8.0,2,36
220,-8.0,2,37
225,-8.0,2,36
230,-8.0,2,36
235,-8.0,2,36
240,-8.0,2,36
245,-8.0,2,36
250,-8.0,2,36
255,-8.0,2,36
260,-8.0,2,36
265,-8.0,2,36
270,-8.0,2,36
275,-8.0,2,36
280,-8.0,2,36
285,-8.0,2,36
290,-8.0,2,36
295,-8.0,2,36
300,-8.0,2,36
0,-8.0,3,33
5,-8.0,3,33
10,-8.0,3,33
15,-8.0,3,34
20,-8.0,3,33
25,-8.0,3,34
30,-8.0,3,34
35,-8.0,3,34
40,-8.0,3,34
45,-8.0,3,35
50,-8.0,3,35
55,-8.0,3,34
60,-8.0,3,35
65,-8.0,3,35
70,-8.0,3,35
75,-8.0,3,35
80,-8.0,3,35
85,-8.0,3,35
90,-8.0,3,35
95,-8.0,3,35
100,-8.0,3,35
105,-8.0,3,35
110,-8.0,3,35
115,-8.0,3,36
120,-8.0,3,35
125,-8.0,3,36
130,-8.0,3,35
135,-8.0,3,36
140,-8.0,3,35
145,-8.0,3,35
150,-8.0,3,36
155,-8.0,3,35
160,-8.0,3,36
165,-8.0,3,35
170,-8.0,3,36
175,-8.0,3,35
180,-8.0,3,35
185,-8.0,3,35
190,-8.0,3,35
195,-8.0,3,35
200,-8.0,3,36
205,-8.0,3,35
210,-8.0,3,35
215,-8.0,3,35
220,-8.0,3,36
225,-8.0,3,35
230,-8.0,3,35
235,-8.0,3,35
240,-8.0,3,35
245,-8.0,3,35
250,-8.0,3,36
255,-8.0,3,35
260,-8.0,3,35
265,-8.0,3,35
270,-8.0,3,35
275,-8.0,3,35
280,-8.0,3,35
285,-8.0,3,35
290,-8.0,3,35
295,-8.0,3,35
300,-8.0,3,35
0,-8.0,4,33
5,-8.0,4,34
10,-8.0,4,34
15,-8.0,4,34
20,-8.0,4,34
25,-8.0,4,35
30,-8.0,4,35
35,-8.0,4,35
40,-8.0,4,35
45,-8.0,4,35
50,-8.0,4,35
55,-8.0,4,35
60,-8.0,4,35
65,-8.0,4,35
70,-8.0,4,36
75,-8.0,4,36
80,-8.0,4,36
